,cluster,userId
0,3,100032
1,3,100036
2,3,100053
3,3,100057
4,3,100058
5,0,100067
6,0,100076
7,3,100093
8,2,100119
9,0,100143
10,3,100163
11,0,100165
12,0,100177
13,3,100180
14,1,100187
15,2,100200
16,0,100230
17,0,100250
18,3,100267
19,1,100269
20,3,100278
21,1,100288
22,0,100298
23,3,100301
24,2,100318
25,0,100338
26,1,100368
27,2,100372
28,1,100396
29,3,100405
30,1,100409
31,1,100413
32,1,100423
33,1,100437
34,3,100440
35,1,100468
36,3,100487
37,0,100499
38,1,100500
39,3,100517
40,1,100521
41,3,100530
42,3,100550
43,1,100562
44,1,100582
45,2,100611
46,0,100628
47,3,100635
48,2,100649
49,1,100672
50,3,100685
51,3,100688
52,1,100690
53,2,100701
54,3,100704
55,3,100711
56,3,100723
57,1,100726
58,0,100743
59,1,100760
60,1,100767
61,1,100769
62,1,100821
63,2,100822
64,0,100845
65,1,100850
66,1,100857
67,1,100859
68,1,100865
69,1,100876
70,3,100878
71,2,100921
72,3,100927
73,0,100931
74,3,100942
75,1,100965
76,3,100972
77,3,100982
78,2,100993
79,0,100997
80,3,100998
81,1,101019
82,0,101044
83,0,101049
84,3,101067
85,2,101071
86,1,101083
87,1,101084
88,1,101097
89,1,101105
90,0,101114
91,1,101118
92,2,101119
93,1,101149
94,3,101165
95,2,101170
96,2,101175
97,3,101183
98,2,101192
99,1,101193
100,0,101207
101,1,101231
102,1,101234
103,1,101263
104,1,101295
105,2,101301
106,3,101302
107,1,101313
108,2,101318
109,3,101327
110,2,101349
111,3,101377
112,1,101386
113,1,101389
114,1,101398
115,1,101447
116,2,101448
117,1,101452
118,2,101454
119,3,101470
120,3,101473
121,0,101490
122,1,101491
123,2,101496
124,1,101512
125,2,101526
126,2,101563
127,3,101573
128,1,101579
129,1,101581
130,2,101594
131,1,101600
132,1,101609
133,3,101631
134,1,101633
135,0,101637
136,1,101658
137,2,101669
138,3,101686
139,0,101705
140,0,101709
141,1,101721
142,0,101725
143,2,101731
144,1,101743
145,1,101768
146,1,101779
147,1,101782
148,1,101791
149,1,101793
150,1,101799
151,1,101812
152,1,101818
153,1,101827
154,2,101847
155,2,101849
156,1,101855
157,2,101857
158,1,101877
159,3,101889
160,1,101892
161,3,101961
162,3,101962
163,2,101966
164,3,101982
165,0,101983
166,1,101984
167,1,101993
168,1,101997
169,3,102011
170,1,102017
171,1,102020
172,0,102032
173,2,102036
174,1,102038
175,1,102052
176,0,102076
177,3,102100
178,2,102114
179,1,102124
180,1,102166
181,2,102169
182,1,102184
183,3,102206
184,3,102223
185,1,102226
186,1,102231
187,1,102280
188,2,102284
189,1,102315
190,0,102323
191,1,102330
192,3,102334
193,1,102342
194,1,102352
195,1,102355
196,3,102378
197,1,102388
198,0,102394
199,1,102399
200,1,102403
201,1,102404
202,1,102409
203,1,102414
204,3,102439
205,1,102516
206,1,102523
207,1,102525
208,3,102536
209,2,102555
210,1,102589
211,0,102618
212,3,102665
213,1,102683
214,1,102704
215,3,102747
216,1,102785
217,2,102790
218,1,102870
219,2,102897
220,0,102941
221,1,102964
222,1,103000
223,1,103001
224,1,103007
225,1,103047
226,3,103076
227,1,103102
228,1,103112
229,1,103130
230,2,103139
231,1,103186
232,2,103202
233,2,103207
234,3,103209
235,3,103265
236,0,103266
237,2,103273
238,0,103284
239,1,103286
240,1,103318
241,1,103321
242,1,103334
243,1,103337
244,0,103345
245,3,103353
246,3,103399
247,1,103403
248,3,103421
249,2,103437
250,2,103438
251,1,103479
252,1,103482
253,0,103496
254,1,103499
255,1,103506
256,3,103515
257,2,103517
258,1,103524
259,3,103561
260,2,103565
261,3,103573
262,2,103576
263,1,103621
264,1,103622
265,1,103624
266,1,103627
267,2,103636
268,3,103640
269,1,103661
270,1,103698
271,2,103709
272,1,103717
273,1,103725
274,2,103738
275,1,103757
276,0,103822
277,0,103870
278,1,103880
279,1,103896
280,1,103915
281,2,103942
282,1,103948
283,3,103969
284,0,103980
285,0,103988
286,1,104011
287,2,104026
288,3,104037
289,1,104038
290,1,104063
291,2,104082
292,1,104085
293,3,104112
294,2,104114
295,1,104160
296,1,104162
297,3,104166
298,1,104176
299,1,104185
300,0,104193
301,2,104213
302,1,104244
303,1,104249
304,3,104270
305,3,104273
306,2,104338
307,3,104342
308,2,104360
309,3,104362
310,3,104381
311,1,104391
312,0,104392
313,1,104403
314,1,104410
315,1,104428
316,1,104443
317,1,104459
318,2,104488
319,3,104495
320,1,104509
321,1,104516
322,1,104518
323,2,104589
324,1,104600
325,2,104722
326,2,104724
327,1,104745
328,1,104845
329,2,104893
330,1,104916
331,1,104922
332,1,105004
333,3,105016
334,1,105023
335,3,105027
336,3,105032
337,3,105045
338,3,105060
339,1,105078
340,1,105084
341,3,105106
342,3,105111
343,0,105112
344,2,105139
345,3,105143
346,3,105148
347,1,105167
348,2,105177
349,2,105188
350,1,105199
351,1,105208
352,1,105219
353,1,105225
354,1,105230
355,1,105239
356,3,105253
357,3,105255
358,3,105263
359,1,105268
360,2,105292
361,2,105302
362,0,105324
363,1,105349
364,2,105370
365,1,105404
366,1,105419
367,1,105452
368,3,105470
369,3,105484
370,3,105491
371,1,105497
372,3,105507
373,1,105520
374,1,105542
375,1,105575
376,3,105577
377,2,105587
378,3,105604
379,3,105606
380,1,105620
381,3,105639
382,3,105644
383,1,105665
384,2,105671
385,2,105708
386,0,105712
387,3,105751
388,1,105759
389,3,105762
390,1,105771
391,1,105773
392,3,105774
393,2,105780
394,1,105781
395,1,105787
396,2,105828
397,1,105837
398,0,105862
399,1,105864
400,1,105878
401,2,105904
402,1,105921
403,2,105938
404,1,105948
405,1,105962
406,1,105968
407,1,105973
408,1,106001
409,3,106032
410,0,106038
411,0,106054
412,3,106078
413,1,106086
414,1,106093
415,1,106099
416,3,106108
417,1,106125
418,1,106131
419,1,106143
420,1,106144
421,1,106146
422,2,106150
423,1,106155
424,3,106158
425,0,106181
426,3,106218
427,1,106256
428,1,106264
429,1,106283
430,1,106289
431,0,106304
432,1,106305
433,1,106310
434,1,106315
435,1,106412
436,2,106436
437,3,106443
438,1,106478
439,1,106484
440,2,106496
441,2,106518
442,1,106532
443,1,106534
444,1,106536
445,2,106551
446,3,106553
447,1,106582
448,1,106586
449,1,106590
450,1,106621
451,3,106656
452,0,106715
453,1,106736
454,1,106737
455,3,106749
456,3,106774
457,1,106781
458,3,106815
459,3,106821
460,3,106842
461,1,106846
